symbol,yahoo_symbol,company_name,isin,isin_valid,segment,exchange,listing_series,current_series,surveillance_band,surveillance_remarks,listing_date,face_value,paidup_value,market_lot,etf_underlying,previous_symbol,symbol_change_date,previous_company_name,name_change_date,nifty_industry,in_nifty50,in_nifty_next50,in_nifty100,in_nifty200,in_nifty500,data_sources,pipeline_run_at
NFL,NFL.NS,National Fertilizers Limited,INE870D01012,True,EQUITY,NSE,EQ,EQ,20,-,2006-12-28,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NGIL,NGIL.NS,Nakoda Group of Industries Limited,INE236Y01012,True,EQUITY,NSE,BE,BE,5,-,2021-08-20,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NGLFINE,NGLFINE.NS,NGL Fine-Chem Limited,INE887E01022,True,EQUITY,NSE,EQ,EQ,20,-,2022-07-08,5.0,5.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NH,NH.NS,Narayana Hrudayalaya Ltd.,INE410P01011,True,EQUITY,NSE,EQ,EQ,20,-,2016-01-06,10.0,10.0,1.0,,,,,,Healthcare,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
NHPC,NHPC.NS,NHPC Limited,INE848E01016,True,EQUITY,NSE,EQ,EQ,No Band,-,2009-09-01,10.0,10.0,1.0,,,,,,Power,False,False,False,True,True,EQUITY_L;sec_list;nifty200;nifty500,2026-07-06T15:21:16+00:00
NIACL,NIACL.NS,The New India Assurance Company Limited,INE470Y01017,True,EQUITY,NSE,EQ,EQ,20,-,2017-11-13,5.0,5.0,1.0,,,,,,Financial Services,False,False,False,False,True,EQUITY_L;sec_list;nifty500,2026-07-06T15:21:16+00:00
NIBE,NIBE.NS,NIBE Limited,INE149O01018,True,EQUITY,NSE,EQ,EQ,10,-,2025-02-07,10.0,10.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NIBL,NIBL.NS,NRB Industrial Bearings Limited,INE047O01014,True,EQUITY,NSE,EQ,EQ,20,-,2013-04-09,2.0,2.0,1.0,,,,,,,False,False,False,False,False,EQUITY_L;sec_list,2026-07-06T15:21:16+00:00
NIF100BEES,NIF100BEES.NS,NIPINDETFNIFTY100,INF204K014N5,True,ETF,NSE,,EQ,20,-,2013-03-28,10.0,,1.0,Nifty100,NETFNIF100,2022-05-10,Reliance ETF Nifty 100,2019-10-30,,False,False,False,False,False,eq_etfseclist;sec_list;symbolchange;namechange,2026-07-06T15:21:16+00:00
NIF100IETF,NIF100IETF.NS,ICICIPruNifty100ETF,INF109KC16V9,True,ETF,NSE,,EQ,20,-,2013-08-26,10.0,,1.0,Nifty100,,,ICICI Prudential Nifty 100 iWIN ETF,2018-04-10,,False,False,False,False,False,eq_etfseclist;sec_list;namechange,2026-07-06T15:21:16+00:00
